ID	East-West	North-South	Depth, ft
279	64.76295	92.1571	-1395
280	65.2837	91.64376	-1397
281	65.77491	91.11248	-1419
282	66.26515	90.60493	-1417
283	65.34693	93.64013	-1343
284	65.80201	93.13873	-1344
285	66.07106	92.8702	-1323
286	66.32228	92.60749	-1340
287	66.78321	92.12397	-1340
288	67.26856	91.62844	-1345
289	67.29054	92.59088	-1327
290	67.7815	92.08915	-1316
291	64.36036	93.69284	-1359
292	64.82154	93.13745	-1371
293	65.30665	92.64778	-1369
294	65.76759	92.11647	-1367
295	66.27027	91.60928	-1376
296	66.77296	91.08386	-1373
297	67.26393	90.60623	-1360
298	62.8069	93.22459	-1408
299	63.31007	92.72909	-1418
300	63.77052	92.23353	-1416
301	64.28565	91.7023	-1426
302	64.77003	91.15277	-1440
303	65.28517	90.68721	-1449
304	61.34962	92.74441	-1487
305	61.80421	92.25469	-1480
306	62.33082	91.74755	-1498
307	62.78614	91.21002	-1508
308	63.27052	90.73857	-1507
309	19.8711	71.53106	-3416
310	20.37355	71.28691	-3404
311	20.85719	71.52651	-3335
312	21.6233	71.05541	-3347
313	22.08961	70.72111	-3358
314	21.80372	69.97979	-3377
315	19.79591	69.58245	-3535
316	21.76905	69.25048	-3412
317	22.49855	69.01211	-3409
318	21.49488	68.49092	-3445
319	22.51124	68.2471	-3376
320	22.4524	67.48199	-3411
321	22.15431	67.00331	-3438
322	22.63917	66.42424	-3410
323	13.3816	93.30387	-2777
324	14.28614	91.73886	-2816
325	14.38624	92.72547	-2784
326	15.36085	92.70266	-2736
327	15.34815	93.18676	-2716
328	14.88746	93.71807	-2715
329	14.42042	94.2676	-2716
330	16.82521	92.63269	-2679
331	16.38771	93.66638	-2675
332	16.4048	94.19831	-2646
333	17.40309	94.11607	-2589
334	18.64674	93.81268	-2573
335	18.58766	93.31645	-2591
336	15.06129	97.69337	-2536
337	15.8086	97.68814	-2521
338	16.51441	97.10935	-2519
339	15.76734	97.16238	-2547
340	15.78614	96.67208	-2586
341	16.23487	96.14076	-2576
342	16.76051	96.4103	-2527
343	17.49024	96.11247	-2527
344	17.4253	95.58633	-2548
345	16.94142	95.3646	-2575
346	14.78199	96.47962	-2624
347	14.55372	97.27427	-2581
348	15.51173	96.20549	-2621
349	15.94288	95.6621	-2598
350	16.44557	95.19067	-2601
351	15.48316	95.21934	-2647
352	14.93385	94.71044	-2697
353	13.94093	95.27096	-2681
354	13.52687	96.29266	-2659
355	14.01075	96.74748	-2639
356	12.89625	94.33712	-2762
357	11.89186	94.37194	-2774
358	16.25758	74.14469	-3408
359	16.50367	73.4037	-3509
360	17.23341	73.05807	-3496
