long,lat,CO2
14.1440089792013,40.8275269903243,23.7
14.1440130025148,40.8269260078669,29
14.1440389864147,40.826538009569,38.6
14.1438870225102,40.8263100218028,383.2
14.1442999988794,40.8261319901794,310.9
14.1441079694778,40.8260510209948,1436
14.1446520388126,40.8258790243417,400.5
14.1444239672273,40.8256370387971,4045
14.144201008603,40.8253590110689,180.4
14.1437489725649,40.8252880163491,1034.4
14.1437020339072,40.8254849910736,1382.7
14.1436189692467,40.82593803294,880.1
14.1417199652642,40.8254920318723,62.1
14.1413990221918,40.8251839969307,193.5
14.1409700363874,40.825168993324,245.3
14.1405640169978,40.8253330271691,69.5
14.1401160042733,40.8250249922276,47
14.1397649701685,40.8248170372099,42.2
14.1402230411768,40.8247100003064,115.3
14.1395990084857,40.8245599642396,33.8
14.1388319805264,40.824717041105,67.8
14.1401089634746,40.8243650011718,47.1
14.1421709954739,40.8249829988927,87.9
14.1425610054284,40.8247769717127,67.2
14.1418069694191,40.8248759619892,1116.1
14.1420249827206,40.824650991708,12348.3
14.1423949599266,40.8245219942182,3604.3
14.142683967948,40.8244919870049,4221.3
14.1414720285684,40.8249420113862,153
14.141388963908,40.8247049711645,81.6
14.145845035091,40.8302269689739,58.8
14.1456359904259,40.8299760147929,96.7
14.1455939970911,40.8297089673579,140.5
14.1452640015632,40.8298790361732,121.4
14.1448139771819,40.8296930417418,133.2
14.1445719916373,40.8295000065118,191.4
14.145681001246,40.8295529801399,332
14.1455000359565,40.8295389823616,155.8
14.1455840226263,40.82937897183,568.7
14.145606989041,40.8290649857372,1896
14.1455759759992,40.8288270235062,4075.6
14.1458270139992,40.8286899793893,3091
14.1460740286857,40.8286189846694,2303.3
14.1460619587451,40.8287889696658,2593.4
14.1462630406022,40.8289069868624,116.4
14.146532015875,40.8289290312678,121.4
14.1470340080559,40.8289700187743,490.3
14.1474639996886,40.8287800010294,274.8
14.1475579608232,40.8287100121379,36
14.147325027734,40.8285520132631,1733.9
14.1472859680653,40.8291990123689,2026.1
14.1475349944085,40.8292219787836,157.4
14.1474299691617,40.8295379765332,130.9
14.1468500252813,40.8292320370674,37
14.1466239653528,40.8294040337205,1369.2
14.1462750267237,40.8297200314701,6897.9
14.1463330294937,40.8301640208811,45.9
14.1470230277628,40.8300910145044,521.8
14.1476560290903,40.829769987613,29.1
14.1432199906558,40.8218490052968,29.8
14.1431309748441,40.8214200194925,43.4
14.1426770109683,40.8216989692301,41.2
14.1425340157002,40.8214279823005,32.8
14.1426749993116,40.8225300349295,57.2
14.1429540328681,40.8226560149342,41.2
14.1379419900477,40.8195589855313,21.5
14.1381989791989,40.8186870161444,13.8
14.1376509703696,40.8188639581203,16.8
14.1377959772944,40.8185290172696,24.2
14.1403439920396,40.8181830123067,16.1
14.1414240002632,40.8186349645257,17.1
14.1407120414078,40.8242049906403,54
14.1410680208355,40.8240540325642,8587.7
14.1414840146899,40.8239660225809,2019
14.14985,40.82782,69.08592
14.149629,40.827539,72.3177
14.149809,40.827333,85.651
14.150116,40.827708,967.90928
14.149997,40.827916,235.35482
14.149851,40.828525,305.74758
14.148507,40.829191,1731.70428
14.148195,40.829273,202.43658
14.148743,40.828913,129.20056
14.148732,40.827855,255.2753
14.147937,40.82794,139.514
14.147877,40.827573,102.81652
14.147246,40.827719,93.12118
14.146728,40.827888,100.73264
14.146345,40.828024,167.43446
14.146644,40.828131,54.37514
14.147103,40.828237,56.26476
14.14719,40.828017,72.33536
14.148562,40.828236,52.097
14.147059,40.826835,109.26242
14.147488,40.826584,38.72838
14.147391,40.826246,40.81226
14.14715,40.825425,122.59572
14.146635,40.826093,764.90758
14.146615,40.825439,5671.40304
14.146409,40.825222,5612.31268
14.146438,40.824626,3545.84544
14.146229,40.824252,2745.65318
14.14737,40.823603,91.53178
14.147955,40.822966,72.68856
14.149276,40.823449,40.81226
14.149468,40.822819,28.64452
14.149852,40.823542,41.2361
14.147931,40.823356,71.54066
14.149255,40.824662,53.7747
14.148848,40.824841,44.15
14.14775,40.8249,5570.63508
14.147717,40.824693,4023.17758
14.147492,40.824033,138.0129
14.148684,40.823814,123.39042
14.149329,40.823885,16.84764
14.149981,40.824247,45.58046
14.150122,40.824695,31.54076
14.149529,40.82649,23.69972
14.149928,40.826281,29.70412
14.149066,40.826544,20.2207
14.150072,40.825244,52.73276
14.150067,40.825948,37.84538
14.148326,40.826858,101.33308
14.14794,40.826776,527.27462
14.148116,40.825008,1311.20202
14.14618,40.825569,345.62386
14.146035,40.825247,371.79598
14.145606,40.825069,138.43674
14.145375,40.824739,186.24236
14.145325,40.824501,50.26036
14.144595,40.824454,24.52974
