d18O,d2H
-12.0092108514108,-86.7914405566468
-12.0503928447892,-94.9764457169491
-11.9737485793349,-91.1035972300829
-11.853634431981,-78.3454929396601
-11.8485502352676,-81.8871170001442
-11.7163611207195,-71.012679599922
-11.7163611207195,-94.0053434097945
-11.6600438648173,-88.1378223268225
-11.670603350299,-91.6238306089156
-11.5516331472056,-73.820288311083
-11.5333300390374,-79.7327819498808
-11.3960567277759,-68.5023471052369
-11.3788975638682,-94.2249975030795
-11.3397394718737,-85.7901024633721
-11.3502989573553,-90.3686643615731
-11.3502989573553,-92.317475114026
-11.2333624329474,-72.1504033913728
-11.2587834165143,-75.6700069913773
-11.2404803083461,-77.9359123747378
-11.2038740920097,-82.0052934713852
-11.0482976725799,-70.3520657855312
-11.0871917774374,-93.9648808136631
-11.0194350789301,-86.3592466726934
-11.0299945644117,-90.8310940316466
-10.927919538089,-74.1226461722849
-10.8652665908979,-81.4966208343043
-10.7304891580229,-68.3762299224895
-10.7293006445055,-77.993165571985
-10.703589135412,-87.7394213802976
-10.6181746306271,-73.0936131152531
-10.5474580763408,-82.2911590856126
-10.5094999258783,-62.2884484136232
-10.435143548945,-66.6526284249425
-10.4300593522316,-70.4291373972101
-10.4076888866927,-77.7509405067084
-10.3893857785245,-87.6766630679305
-10.2246578050106,-82.7914239105103
-10.2063546968424,-60.3767971882297
-10.2063546968424,-63.6138048787448
-10.2063546968424,-74.0515031461198
-10.0815607775137,-66.8628237295214
-10.1422938182537,-69.8742217931218
-10.0894181724344,-76.4664136453929
-10.080520828186,-80.0630888570762
-10.080520828186,-87.1151413256983
-9.91655548417914,-83.2487154731387
-9.8860503038988,-61.5394775015575
-9.76911377949081,-64.700147595743
-9.84029253347828,-68.0399174351633
-9.79453476305776,-71.519150190955
-9.79453476305776,-74.7121169605106
-9.79453476305776,-77.9491246510256
-9.73352440249708,-81.1035556147418
-9.86317141868854,-86.9995339081799
-9.44927158624841,-62.4907613942804
-9.56574591095518,-64.7258381329693
-9.45516463243893,-70.3135299796917
-9.47423037011414,-74.6460555790715
-9.47423037011414,-77.8830632695865
-9.4996513536811,-80.6796617505077
-9.12896719330479,-61.7620843384069
-9.14629968210044,-65.9846744570585
-9.17680486238078,-69.5042780570629
-9.15392597717052,-72.5320913730209
-9.15392597717052,-75.7690990635359
-9.15392597717052,-79.3437538147396
-9.11960764935514,-81.1035556147418
-8.89768246281563,-56.8722409028864
-8.81836899408673,-59.7033381052258
-8.81836899408673,-65.3038752205613
-8.81836899408673,-69.4528969826103
-8.84506102683204,-72.7798215534174
-8.83362158422691,-76.0663752800118
-8.91369768246281,-79.3694443519659
-8.58576699444911,-55.4387089256583
-8.50499759666138,-62.553819985654
-8.5224687453674,-67.3925158970603
-8.51331719128329,-70.286004404092
-8.5224687453674,-73.6353164430535
-8.2753767850966,-53.7739621133934
-8.23877056876019,-57.9468393742955
-8.19873251964224,-61.5948039085128
-8.16555813608736,-64.4946232979325
-8.20826538847985,-67.9885363607106
-8.1805334064068,-71.9495501003308
-7.95366446075543,-50.1830178677067
-8.10149725749864,-52.7797383227353
-7.90702673321144,-56.7681942271198
-7.96422394623709,-61.1034723840596
-7.96422394623709,-64.2634084628957
-7.95278450363196,-68.1555248526817
