date	x	y	T	CO2.flux
01/12/1998	427249	4520151	17.2	140.85
01/12/1998	427240	4520106	15.8	150.12
01/12/1998	427266	4520077	23	1765.17
01/12/1998	427334	4520041	15.6	80.43
01/12/1998	427372	4519997	13.9	23.45
01/12/1998	427330	4519993	14	15.9
01/12/1998	427284	4520018	14.2	17.23
01/12/1998	427366	4520053	14.6	603.41
01/12/1998	427312	4520138	17.3	150.39
01/12/1998	427312	4520077	16.2	53.53
01/12/1998	427212	4520099	10.1	10.07
01/12/1998	427411	4519970	14.7	50.48
01/12/1998	427463	4519977	13.1	1376.81
01/12/1998	427514	4520062	52.5	1034.69
01/12/1998	427549	4519978	95.6	7051.12
01/12/1998	427585	4520006	96	10600.93
01/12/1998	427539	4520031	32	1087.03
01/12/1998	427592	4520068	72.3	13007.53
01/12/1998	427570	4520125	32.9	940.22
01/12/1998	427440	4520039	20.2	776.58
01/12/1998	427518	4520132	60.2	5384.8
01/12/1998	427508	4520096	91.3	8919.11
01/12/1998	427469	4520100	30.2	2203.08
01/12/1998	427416	4520097	33.6	3433.08
01/12/1998	427425	4520149	20.4	2548.9
01/12/1998	427726	4519980	37.3	6572.4
01/12/1998	427768	4519967	82	2791.38
01/12/1998	427786	4520031	93	6153.3
01/12/1998	427778	4520084	96.9	9344.56
01/12/1998	427763	4520044	95.1	5333.66
01/12/1998	427753	4520015	34.5	2444.23
01/12/1998	427738	4520046	42	930.68
01/12/1998	427713	4520064	21.1	2287.35
01/12/1998	427684	4520040	97.8	15248.1
01/12/1998	427719	4520118	71.9	11066.4
01/12/1998	427629	4520139	42.1	3113.09
01/12/1998	427627	4520088	33.2	2601.24
01/12/1998	427675	4520085	95.1	13931.05
01/12/1998	427631	4520056	49.7	2267.87
01/12/1998	427621	4519986	23.8	302.1
01/12/1998	427816	4520144	13.2	241.55
01/12/1998	427845	4520106	13.8	27.56
01/12/1998	427848	4520068	16.2	208.69
01/12/1998	427842	4520027	16.7	157.81
01/12/1998	427869	4520040	11.7	57.77
01/12/1998	427915	4519992	14.1	1383.7
01/12/1998	427892	4520051	16.2	65.72
01/12/1998	427929	4520033	11.7	28.49
01/12/1998	427845	4519984	33.5	1305.79
01/12/1998	427863	4520005	23.1	462.43
01/12/1998	427902	4519969	18.9	419.76
01/12/1998	427873	4519966	20.3	2047.52
01/12/1998	427897	4520104	11.2	23.19
01/12/1998	427912	4520148	11.1	16.43
01/12/1998	427955	4520126	10.9	40.55
01/12/1998	428016	4519981	17.8	504.16
01/12/1998	428017	4520024	15.9	34.05
01/12/1998	428005	4520067	15.7	854.63
01/12/1998	428043	4520133	12.7	16.7
01/12/1998	428085	4519980	15.4	65.59
01/12/1998	428099	4520020	11.2	11.79
01/12/1998	428067	4520058	11.8	15.9
01/12/1998	428078	4520109	11.3	17.09
01/12/1998	428100	4520145	11	27.43
01/12/1998	428155	4520130	9.6	7.29
01/12/1998	428191	4520104	10	8.08
01/12/1998	428225	4520065	11.5	8.35
01/12/1998	428267	4520034	10.2	7.82
01/12/1998	428281	4519979	9.1	9.27
01/12/1998	428249	4520103	9.2	8.88
01/12/1998	428309	4520098	10.1	10.6
01/12/1998	428322	4520125	9.8	15.24
01/12/1998	428361	4520101	9.2	10.07
01/12/1998	428357	4519998	9.7	5.96
01/12/1998	428375	4519990	9.5	7.29
01/12/1998	427377	4519863	26.6	1967.1
01/12/1998	427384	4519889	45.8	2047.13
01/12/1998	427394	4519869	32.6	6042.4
01/12/1998	427369	4519812	19.5	355.1
01/12/1998	427315	4519896	16.9	18.02
01/12/1998	427297	4519875	14	12.06
01/12/1998	427291	4519763	13.5	9.94
01/12/1998	427416	4519943	17	807.59
01/12/1998	427434	4519913	19.5	1816.44
01/12/1998	427491	4519905	82.5	3244.79
01/12/1998	427525	4519911	35.2	22195.08
01/12/1998	427530	4519946	86.9	5679.48
01/12/1998	427482	4519936	18.2	2893.01
01/12/1998	427410	4519863	16.1	284.88
01/12/1998	427557	4519758	14.9	123.76
01/12/1998	427567	4519792	15	17.89
01/12/1998	427578	4519819	14.9	24.25
01/12/1998	427544	4519803	15.4	47.97
01/12/1998	427557	4519850	15.3	34.58
01/12/1998	427512	4519837	13.9	86.52
01/12/1998	427456	4519821	13.6	14.97
01/12/1998	427427	4519790	13.5	12.59
01/12/1998	427790	4519948	25.2	781.35
01/12/1998	427775	4519924	30.1	114.35
01/12/1998	427738	4519886	14.7	19.74
01/12/1998	427722	4519910	15.3	3.84
01/12/1998	427658	4519870	14.8	12.85
01/12/1998	427669	4519837	15.9	5.96
01/12/1998	427696	4519810	14.9	5.43
01/12/1998	427614	4519857	17.1	25.57
01/12/1998	427629	4519834	16	11.53
01/12/1998	427624	4519803	14.3	5.04
01/12/1998	427709	4519845	97.7	25106.1
01/12/1998	427758	4519830	90	925.25
01/12/1998	427788	4519834	71.2	3740.21
01/12/1998	427662	4519937	16	36.97
01/12/1998	427613	4519909	14.9	17.62
01/12/1998	427885	4519943	17.6	112.49
01/12/1998	427861	4519917	19.5	183.91
01/12/1998	427912	4519930	24	60.82
01/12/1998	427842	4519947	95.2	16820.88
01/12/1998	427813	4519951	23	1972.79
01/12/1998	427906	4519837	14.9	22.13
01/12/1998	427884	4519817	12.5	23.19
01/12/1998	427870	4519770	9	17.76
01/12/1998	427883	4519865	15	15.77
01/12/1998	427862	4519891	35.5	731.53
01/12/1998	427925	4519866	19	58.7
01/12/1998	427968	4519871	10.7	42.27
01/12/1998	427960	4519900	11.6	105.6
01/12/1998	427974	4519931	15.7	20.14
01/12/1998	427906	4519781	11.8	20.94
01/12/1998	428005	4519810	11.5	47.04
01/12/1998	428095	4519921	94.6	4589.54
01/12/1998	428118	4519889	14.6	552.53
01/12/1998	428084	4519814	28.5	8800.25
01/12/1998	428098	4519786	12.1	8.35
01/12/1998	428115	4519760	11.9	24.38
01/12/1998	428184	4519810	11.2	17.36
01/12/1998	428175	4519773	11	12.32
01/12/1998	428073	4519882	29.7	1058.54
01/12/1998	428006	4519879	10.5	12.99
01/12/1998	428015	4519935	16.1	219.95
01/12/1998	428087	4519952	15.8	233.33
01/12/1998	428065	4519768	11.1	7.82
01/12/1998	428161	4519922	69.6	5208.58
01/12/1998	428347	4519858	10.9	16.3
01/12/1998	428261	4519874	30	528.41
01/12/1998	428207	4519897	55.5	1167.99
01/12/1998	428269	4519936	9.2	8.75
01/12/1998	428209	4519864	63.4	4418.34
01/12/1998	428394	4519848	9.9	11
01/12/1998	428375	4519825	10.7	9.94
01/12/1998	427374	4519743	17.4	14.84
01/12/1998	427361	4519710	13.5	11.66
01/12/1998	427295	4519741	13.4	8.61
01/12/1998	427492	4519700	28.5	1482.28
01/12/1998	427526	4519664	13.6	14.18
01/12/1998	427600	4519667	13.5	11.79
01/12/1998	427647	4519686	13.6	12.85
01/12/1998	427673	4519751	13.4	14.84
01/12/1998	427932	4519738	9.5	13.91
01/12/1998	427977	4519714	11.4	11.79
01/12/1998	427920	4519673	11	12.32
01/12/1998	427893	4519660	10.2	9.41
01/12/1998	427930	4519713	11.1	11.26
01/12/1998	427864	4519742	11.2	16.96
01/12/1998	427900	4519745	10.5	14.84
01/12/1998	427994	4519730	10.1	6.89
01/12/1998	428044	4519666	11.4	7.29
01/12/1998	428116	4519732	11.5	13.38
01/12/1998	428133	4519689	11.7	12.59
01/12/1998	428114	4519655	11.4	13.12
01/12/1998	428104	4519685	11.5	15.11
01/12/1998	428094	4519721	12	19.21
01/12/1998	428157	4519718	11	11
01/12/1998	428224	4519657	10.1	8.08
01/12/1998	428261	4519652	9.9	11.53
01/12/1998	428244	4519623	10.3	5.43
01/12/1998	428344	4519639	10.2	6.49
01/12/1998	428378	4519704	10.1	9.67
01/12/1998	428390	4519747	10.5	7.16
01/12/1998	428275	4519730	10.5	8.22
01/12/1998	428235	4519693	11	12.06
01/07/2000	427357	4520620	24.5	8.56
01/07/2000	427325	4520590	24.4	6.59
01/07/2000	427333	4520640	25	3.89
01/07/2000	427361	4520670	24.7	3.17
01/07/2000	427317	4520720	25	4.27
01/07/2000	427313	4520760	24.8	6.06
01/07/2000	427281	4520750	25	3.49
01/07/2000	427285	4520690	24.5	7.55
01/07/2000	427309	4520660	24.6	3.98
01/07/2000	427257	4520690	24.5	8.76
01/07/2000	427225	4520730	24.7	187.43
01/07/2000	427229	4520670	24.7	9.32
01/07/2000	427257	4520650	24.5	16.78
01/07/2000	427221	4520640	25	16.2
01/07/2000	427377	4520590	25.2	4.2
01/07/2000	427385	4520670	25.3	2.99
01/07/2000	427417	4520630	25.2	5.14
01/07/2000	427417	4520580	25.3	6.7
01/07/2000	427445	4520670	24.8	3.22
01/07/2000	427481	4520640	25	3.71
01/07/2000	427461	4520710	25	5.88
01/07/2000	427501	4520620	24.7	8.2
01/07/2000	427525	4520700	24.8	7.08
01/07/2000	427553	4520740	24.6	8.54
01/07/2000	427593	4520700	25	14.77
01/07/2000	427593	4520660	25.1	11.64
01/07/2000	427517	4520600	25	19.01
01/07/2000	427529	4520570	25	21.45
01/07/2000	427593	4520580	24.8	13.99
01/07/2000	427621	4520680	24.7	13.25
01/07/2000	427753	4520570	28.9	21
01/07/2000	427717	4520580	34.3	637.48
01/07/2000	427697	4520650	34	298.29
01/07/2000	427693	4520670	33.5	257.2
01/07/2000	427697	4520730	32.5	41.12
01/07/2000	427657	4520750	33	17.07
01/07/2000	427725	4520610	35.1	21.5
01/07/2000	427709	4520610	31.2	27.44
01/07/2000	427737	4520650	32.9	29.72
01/07/2000	427745	4520720	32	17.39
01/07/2000	427777	4520740	33.5	8.76
01/07/2000	427773	4520700	34.1	16.54
01/07/2000	427777	4520650	33.7	39.15
01/07/2000	427781	4520620	34	52.02
01/07/2000	427985	4520600	28	13.45
01/07/2000	427941	4520610	29.1	19.71
01/07/2000	427901	4520580	27.3	17.76
01/07/2000	427809	4520680	32.2	20.36
01/07/2000	427837	4520750	32.6	5.01
01/07/2000	427857	4520710	32.5	10.34
01/07/2000	427873	4520650	31.3	11.2
01/07/2000	427829	4520630	31.7	5.95
01/07/2000	427845	4520600	30.1	9.38
01/07/2000	427821	4520580	30.5	53.63
01/07/2000	427877	4520570	30	19.11
01/07/2000	427925	4520630	30.7	15.66
01/07/2000	427921	4520690	28.9	14.26
01/07/2000	427969	4520650	31.5	15.4
01/07/2000	427993	4520570	29.4	91.31
01/07/2000	428105	4520590	30.3	87.86
01/07/2000	428025	4520580	36	127.33
01/07/2000	428081	4520610	28.8	11.89
01/07/2000	428049	4520630	27.2	8.18
01/07/2000	428173	4520590	28.4	84.33
01/07/2000	428005	4520650	30	30.64
01/07/2000	428001	4520730	30.9	15.4
01/07/2000	428013	4520760	30.7	13.3
01/07/2000	428045	4520710	30.7	14.66
01/07/2000	428057	4520680	31.2	11.42
01/07/2000	428133	4520680	31	16.76
01/07/2000	428225	4520680	30.5	6.86
01/07/2000	428261	4520660	31	7.46
01/07/2000	428253	4520610	36.1	1125.46
01/07/2000	428261	4520580	30.1	15.15
01/07/2000	428205	4520590	30.5	27.1
01/07/2000	428293	4520610	29.6	19.39
01/07/2000	427305	4520390	27	285.08
01/07/2000	427341	4520390	39.5	2104.13
01/07/2000	427369	4520420	36	492.14
01/07/2000	427373	4520460	25	95.39
01/07/2000	427361	4520480	26	157.65
01/07/2000	427325	4520430	25.5	45.79
01/07/2000	427261	4520390	26.1	39.64
01/07/2000	427305	4520490	24.7	19.1
01/07/2000	427365	4520550	25	7.51
01/07/2000	427293	4520550	24.7	6.79
01/07/2000	427269	4520510	24.5	3.86
01/07/2000	427221	4520410	25.1	13.1
01/07/2000	427561	4520390	34.8	921.65
01/07/2000	427509	4520470	63.1	3637.92
01/07/2000	427489	4520390	30.2	81.45
01/07/2000	427509	4520440	73.3	8753.16
01/07/2000	427469	4520470	30	545.9
01/07/2000	427469	4520490	45.8	2937.27
01/07/2000	427449	4520370	25.2	138.47
01/07/2000	427421	4520410	34.5	66.37
01/07/2000	427553	4520550	26.5	48.11
01/07/2000	427585	4520530	27.1	19.64
01/07/2000	427425	4520480	31.7	230.78
01/07/2000	427613	4520370	40.9	856.67
01/07/2000	427729	4520560	38.6	800.2
01/07/2000	427713	4520540	33.1	62.88
01/07/2000	427621	4520490	26.7	7.8
01/07/2000	427641	4520460	27.9	33.76
01/07/2000	427677	4520470	27	6.86
01/07/2000	427701	4520410	27.2	6.34
01/07/2000	427737	4520390	26.8	16.49
01/07/2000	427741	4520410	27.3	20.15
01/07/2000	427745	4520440	27.1	23.08
01/07/2000	427709	4520370	27	11.44
01/07/2000	427985	4520430	31.1	41.83
01/07/2000	427993	4520490	39.7	3823.81
01/07/2000	427965	4520480	36.9	780.47
01/07/2000	427921	4520510	61.5	4762.47
01/07/2000	427893	4520520	30	220.58
01/07/2000	427977	4520530	28.9	25.61
01/07/2000	427965	4520500	46.1	3118.81
01/07/2000	427929	4520520	29.8	137.43
01/07/2000	427869	4520530	30	22.84
01/07/2000	428085	4520460	31.8	7.62
01/07/2000	428085	4520410	57.7	1504.83
01/07/2000	428129	4520380	38.4	992.06
01/07/2000	428137	4520370	48.2	2119.51
01/07/2000	428169	4520380	40	56.31
01/07/2000	428053	4520380	27.3	41.34
01/07/2000	428041	4520420	75	13372.28
01/07/2000	428049	4520450	59.5	900.84
01/07/2000	428017	4520450	54.9	911.88
01/07/2000	428137	4520480	29.7	60.62
01/07/2000	428145	4520430	38.7	367.79
01/07/2000	428185	4520440	29.5	7.35
01/07/2000	428089	4520520	29.8	46.9
01/07/2000	428041	4520510	35.7	61.27
01/07/2000	428161	4520530	28	7.57
01/07/2000	428057	4520550	28.8	3.64
01/07/2000	428197	4520390	36.6	81.52
01/07/2000	428221	4520450	38	152.4
01/07/2000	428281	4520450	35.8	44.62
01/07/2000	428281	4520390	36	25.65
01/07/2000	428317	4520400	28.1	11.14
01/07/2000	428289	4520490	28.8	65.43
01/07/2000	428229	4520500	34	88.69
01/07/2000	428197	4520520	30	40
01/07/2000	428329	4520450	28.3	16.22
01/07/2000	428341	4520510	28.7	26.01
01/07/2000	428385	4520390	28.5	12.18
01/07/2000	427393	4520180	27.3	696.67
01/07/2000	427249	4520250	25	93.85
01/07/2000	427325	4520280	25.4	11.86
01/07/2000	427313	4520320	24.7	32.87
01/07/2000	427345	4520250	24.5	13.3
01/07/2000	427381	4520280	26	74.43
01/07/2000	427389	4520200	24.9	41.68
01/07/2000	427321	4520200	24.9	7.48
01/07/2000	427273	4520180	25.1	14.06
01/07/2000	427269	4520350	25.6	39.1
01/07/2000	427217	4520340	25.3	21.36
01/07/2000	427213	4520290	25.7	42.97
01/07/2000	427213	4520230	27	154.3
01/07/2000	427241	4520200	26	25.97
01/07/2000	427345	4520110	26.2	38.95
01/07/2000	427379	4520330	29.1	28.13
01/07/2000	427521	4520270	29	331.23
01/07/2000	427561	4520250	33.6	315.3
01/07/2000	427585	4520220	33.7	1510.08
01/07/2000	427597	4520260	34	835.32
01/07/2000	427545	4520180	92.4	8926.92
01/07/2000	427517	4520220	55	1577.42
01/07/2000	427465	4520250	33.4	856.67
01/07/2000	427429	4520240	31	188.78
01/07/2000	427461	4520200	38.5	1343.56
01/07/2000	427537	4520310	40.8	3878.83
01/07/2000	427541	4520360	34	741.38
01/07/2000	427593	4520340	60.9	8306.27
01/07/2000	427481	4520340	25.7	45.52
01/07/2000	427441	4520300	30.6	67.22
01/07/2000	427621	4520320	91.1	14543.35
01/07/2000	427645	4520350	48.1	2369.29
01/07/2000	427669	4520350	35.2	273.33
01/07/2000	427661	4520290	91.5	14295.38
01/07/2000	427685	4520260	65	7363.99
01/07/2000	427689	4520300	38	289.96
01/07/2000	427717	4520270	44.8	2173.99
01/07/2000	427653	4520210	28.7	600.92
01/07/2000	427697	4520190	59.5	5108.36
01/07/2000	427749	4520200	42.7	5052.07
01/07/2000	427617	4520240	40.3	1184.83
01/07/2000	427757	4520340	27.1	29.16
01/07/2000	427789	4520280	27.7	78.32
01/07/2000	427609	4520350	42	7545.89
01/07/2000	427805	4520240	27.4	10.21
01/07/2000	427813	4520200	27.7	22.03
01/07/2000	427813	4520180	29.1	117.87
01/07/2000	427841	4520210	27	5.03
01/07/2000	427873	4520210	26.9	13
01/07/2000	427877	4520250	27	25.25
01/07/2000	427873	4520280	27.3	65.97
01/07/2000	427873	4520300	26.9	22.64
01/07/2000	427917	4520320	30	128.96
01/07/2000	427865	4520330	28.2	47.66
01/07/2000	427809	4520340	28	13.09
01/07/2000	427957	4520230	27.9	8.18
01/07/2000	427949	4520260	28	21.94
01/07/2000	427981	4520310	28.3	60.18
01/07/2000	428141	4520350	35.4	402.91
01/07/2000	428149	4520360	57.2	4414.59
01/07/2000	428169	4520330	35	371.59
01/07/2000	428141	4520320	44.5	2375.44
01/07/2000	428145	4520290	37.8	187.52
01/07/2000	428113	4520310	61	1670.63
01/07/2000	428109	4520290	65.8	1811.99
01/07/2000	428093	4520310	33.1	105.2
01/07/2000	428053	4520300	36.9	129.6
01/07/2000	428057	4520350	33.6	69.3
01/07/2000	428049	4520200	27.5	15.62
01/07/2000	428093	4520200	27.9	20.29
01/07/2000	428129	4520170	27.2	11.24
01/07/2000	428173	4520210	28	8.36
01/07/2000	428133	4520240	27.2	13.05
01/07/2000	428093	4520250	27.6	34.7
01/07/2000	428041	4520270	28.1	54.63
01/07/2000	428209	4520350	38.8	42.77
01/07/2000	428241	4520350	30.1	32.8
01/07/2000	428285	4520340	30	15.13
01/07/2000	428325	4520330	26.1	8.2
01/07/2000	428321	4520290	30.6	21.99
01/07/2000	428249	4520250	35.9	94.37
01/07/2000	428221	4520280	27.9	13
01/07/2000	428301	4520210	34.3	37.38
01/07/2000	428345	4520240	25.3	4.98
01/07/2000	427369	4520130	27.5	24.83
01/07/2000	427357	4520100	24.4	280.37
01/07/2000	427389	4520060	35.2	610.15
01/07/2000	427385	4520030	24.4	54.39
01/07/2000	427365	4519990	24.4	50.35
01/07/2000	427321	4520090	30.8	896.31
