kyears	sea	temp	CO2
85	-29.96	-4.32494526722474	237.872407940562
86	-33.19	-4.72823227132581	227.792161348189
87	-36.68	-5.78977801646971	221.181145620797
88	-41.15	-5.81850125493009	219.230503423423
89	-40.65	-6.31103227023968	225.85407287509
90	-38.17	-4.74228476821195	229.300618005571
91	-35.91	-5.6762434054939	231.440474623983
92	-39.37	-5.31217936715971	233.650409982175
93	-41.76	-5.92603092783525	233.644962147736
94	-41.82	-4.56069033143754	239.206213808463
95	-34.94	-3.8504376601197	242.73412554841
96	-25.61	-5.35972125435539	246.137569931334
97	-20.95	-5.49401800787853	243.510456401301
98	-19.34	-4.66279709591139	240.226977722244
99	-16.97	-4.3957771260997	243.078298572714
100	-17	-4.45967869222095	245.346416700446
101	-16.69	-5.14758620689651	246.054395910543
102	-28.14	-4.88163866305329	239.963642245456
103	-31.04	-5.91909239574816	238.631041620707
104	-32.55	-5.68806006493506	245.748528878717
105	-35.22	-4.56826033850986	242.758355835029
106	-38.48	-4.75442063203784	256.965000938051
107	-41.37	-4.70834909716253	240.271010798198
108	-42.91	-6.44383211154233	237.531169582857
109	-45.17	-7.62295178411562	243.015065359926
110	-45.58	-4.76915572792353	244.702662184263
111	-47.87	-5.41115081206498	250.472051095774
112	-44.12	-5.39020903376699	257.745019887785
113	-39.03	-4.09457404139259	263.654978596373
114	-33.75	-2.84334734629533	264.697115653878
115	-29.37	-2.39685610200365	275.622707039665
116	-24.99	-2.05751135503392	273.235780246914
117	-17.04	-0.977117098445629	273.925460371565
118	-9.18	1.33888607594911	275.983892156202
119	-4.89	1.42350324374455	271.88266084724
120	-0.63	0.482234807231578	270.700377490551
121	0.38	1.88046615422762	278.196792698531
122	-2.96	1.34682779456192	277.614414990505
123	-2.86	2.09178661936139	279.156906830749
124	-5.42	1.62514761544296	276.386242135538
125	-9.84	1.12691595615098	276.015579569847
126	-16.25	1.09517922794117	275.181539240296
127	-26.94	2.55944905054818	275.021741046049
128	-37.21	3.76621252597204	276.069943946403
129	-54.53	3.55806067816778	269.469922015597
130	-73.85	2.8403913405496	256.400243521655
131	-90.07	0.456934707903783	247.339435535091
132	-105.22	-2.61979193758118	232.141385965869
133	-115.02	-4.34860059171599	224.477608461219
134	-119.82	-5.11619706615009	219.643560893271
135	-123.64	-7.73266014951097	210.398263225124
136	-124.5	-6.85174450549449	206.145276590955
137	-123.8	-8.5601952552963	202.086154424103
138	-124.64	-8.06846965699205	199.040819699686
139	-122.69	-9.04975807185084	197.6885804046
140	-120.22	-8.62503068046507	192.828035999486
141	-114.5	-9.1591182795699	194.387820118726
142	-110.49	-7.86036899628998	195.947604237967
143	-107.59	-8.61382454790302	195.558820986411
144	-103.3	-8.89951387030595	195.024246575342
145	-98.2	-8.32406733746132	195.647863599893
146	-94.8	-7.93404530744332	193.79098819394
147	-93.03	-7.75264541441885	194.521526093646
148	-92.8	-7.34502641202763	195.566118914188
149	-91.47	-8.21921877952011	199.522386101827
150	-83.71	-6.99008250652741	202.125264589406
151	-81.41	-7.70544297601566	202.433739426097
152	-80.76	-7.8373704377814	201.499335997356
153	-81.58	-7.88	199.967022203527
154	-83.01	-9.06627798901564	198.278556982243
155	-85.36	-9.08698694342149	195.758823579203
156	-88.64	-9.57441558441551	190.877643631542
157	-87.48	-8.81635965665235	189.268347476666
158	-85.64	-9.01868893320039	189.1072745615
159	-86.43	-6.47218488243012	187.886666666667
160	-85.83	-7.47067988938686	186.793849658314
161	-81.01	-8.19182752419284	191.333648393195
162	-75.82	-6.5621806489331	195.870510396975
163	-72.41	-6.8882745020706	200.407372400756
164	-71.32	-9.14396597291048	201.976282387496
165	-68.5	-8.78230362923833	194.69713274532
166	-64.42	-8.00438436369898	191.987480299721
167	-60.97	-7.50395526509574	189.450146004778
168	-60.17	-6.71847008204925	186.400372865047
169	-58.35	-6.53504343484773	188.036701781766
170	-55.7	-7.65868351298817	196.840336550359
171	-56.66	-8.52441558441559	197.335263548627
172	-62.17	-5.84733415739595	197.797562924491
173	-59.51	-8.24772114436062	197.75761086696
174	-57.15	-8.02534540576795	197.717658809429
175	-56.68	-8.33904660844009	197.018216121034
176	-56.38	-8.58664231282897	195.068400921885
177	-57.08	-6.32512803676947	190.105706900856
178	-60.21	-5.98147634503786	192.32104035456
179	-61.56	-7.73465104300803	200.531910426872
180	-62.88	-8.66180170410533	208.188803358992
181	-63.81	-8.42229062331459	212.037648705388
182	-61.87	-9.23583992765093	216.713422818792
183	-61.47	-8.80280363308812	202.861581920904
184	-63.82	-8.5335135340056	199.166666666667
185	-66.14	-8.23430084904957	200.840833333333
186	-63.1	-7.84662570961972	202.654558823529
187	-58.35	-6.63	205.522260612043
188	-54.36	-4.05834609990292	209.125419545903
189	-49.67	-5.51634293812013	219.16863818912
190	-47.83	-6.65246120081528	231.313363259669
191	-43.67	-7.07705389221558	231.382424033149
192	-38.93	-4.98208658167465	220.225599322779
193	-34.32	-5.57648380985188	218.15431098143
194	-31.73	-7.09671187833941	221.833698830409
195	-27.93	-5.31398637748706	225.975999025341
196	-22.54	-4.51768986454916	220.717733590626
197	-16.51	-3.8568116968532	224.297452247112
198	-10.22	-2.70973320048715	234.651884880421
199	-8.16	-2.20483059727559	242.782871357498
200	-10.01	-2.24760691861153	245.732409381663
201	-14.6	-1.97874223245108	248.681947405828
202	-19.64	-3.42459068342665	247.951486146096
203	-23.23	-4.8814683234162	241.078815489749
204	-21.01	-4.89603894440175	247.228584861307
205	-10.72	-3.35693740095087	244.877856135402
206	-5.44	-3.44202036021925	231.719664869029
207	-8.14	-2.93351587947884	227.231037996797
208	-8.33	-2.3712012513034	236.600018522711
209	-9.22	-1.66547228279582	237.186754382599
210	-7.95	-1.52876073908439	244.48646929405
211	-4.98	-1.11119575699132	250.76035335689
212	-3.69	-1.84184318648704	240.663382643589
213	-4.4	-2.10669304319156	249.20092064169
214	-5.98	-2.29146265560176	249.704794437873
